,st,st binned,gender,education,income,policy type,vehicle class,customer lifetime value,monthly premium auto,number of open complaints,total claim amount
0,washington,east,,master,0.0,personal auto,four-door car,8028.803803165787,1000.0,0.384,2.704934
1,arizona,central,female,bachelor,0.0,personal auto,four-door car,8028.803803165787,94.0,0.384,1131.464935
2,nevada,central,female,bachelor,48767.0,personal auto,two-door car,8028.803803165787,108.0,0.384,566.472247
3,california,west region,male,bachelor,0.0,corporate auto,suv,8028.803803165787,106.0,0.384,529.881344
4,washington,east,male,high school or below,36357.0,personal auto,four-door car,8028.803803165787,68.0,0.384,17.269323
5,oregon,north west,female,bachelor,62902.0,personal auto,two-door car,8028.803803165787,69.0,0.384,159.383042
6,oregon,north west,female,college,55350.0,corporate auto,four-door car,8028.803803165787,67.0,0.384,321.6
7,arizona,central,male,master,0.0,corporate auto,four-door car,8028.803803165787,101.0,0.384,363.02968
8,oregon,north west,male,bachelor,14072.0,corporate auto,four-door car,8028.803803165787,71.0,0.384,511.2
9,oregon,north west,female,college,28812.0,special auto,four-door car,8028.803803165787,93.0,0.384,425.527834
10,california,west region,male,college,0.0,personal auto,four-door car,8028.803803165787,67.0,0.384,482.4
11,california,west region,,college,0.0,personal auto,suv,8028.803803165787,110.0,0.384,528.0
12,california,west region,,master,77026.0,corporate auto,four-door car,8028.803803165787,110.0,0.384,472.029737
13,arizona,central,,high school or below,99845.0,corporate auto,suv,8028.803803165787,110.0,0.384,528.0
14,california,west region,,college,83689.0,corporate auto,four-door car,8028.803803165787,70.0,0.384,307.139132
15,oregon,north west,,bachelor,24599.0,corporate auto,four-door car,8028.803803165787,64.0,0.384,42.920271
16,nevada,central,,high school or below,25049.0,personal auto,two-door car,8028.803803165787,67.0,0.384,454.245098
17,california,west region,,college,28855.0,personal auto,suv,8028.803803165787,101.0,0.384,647.442031
18,oregon,north west,,college,51148.0,personal auto,four-door car,8028.803803165787,72.0,0.384,308.981664
19,california,west region,,high school or below,66140.0,corporate auto,four-door car,8028.803803165787,101.0,0.384,484.8
20,oregon,north west,,high school or below,57749.0,personal auto,two-door car,8028.803803165787,74.0,0.384,355.2
21,washington,east,male,bachelors,61040.0,personal auto,two-door car,8028.803803165787,79.0,0.384,20.382876
22,arizona,central,,bachelor,14072.0,personal auto,four-door car,8028.803803165787,71.0,0.384,511.2
23,nevada,central,,bachelor,0.0,corporate auto,four-door car,8028.803803165787,73.0,0.384,554.376763
24,california,west region,,bachelor,17870.0,corporate auto,four-door car,8028.803803165787,61.0,0.384,439.2
25,oregon,north west,,college,97541.0,personal auto,four-door car,8028.803803165787,72.0,0.384,389.185006
26,california,west region,,bachelor,0.0,personal auto,four-door car,8028.803803165787,111.0,0.384,799.2
27,washington,east,male,college,29723.0,personal auto,four-door car,8028.803803165787,80.0,0.384,20.985105
28,arizona,central,,college,86584.0,personal auto,four-door car,8028.803803165787,111.0,0.384,532.8
29,oregon,north west,,master,75690.0,personal auto,four-door car,8028.803803165787,80.0,0.384,384.0
30,arizona,central,,college,23158.0,personal auto,four-door car,8028.803803165787,63.0,0.384,322.294043
31,nevada,central,,high school or below,65999.0,corporate auto,luxury suv,8028.803803165787,237.0,0.384,615.927769
32,california,west region,,bachelor,0.0,personal auto,four-door car,8028.803803165787,65.0,0.384,308.15089
33,washington,east,female,college,0.0,personal auto,suv,8028.803803165787,130.0,0.384,23.820158
34,oregon,north west,,bachelor,37260.0,corporate auto,four-door car,8028.803803165787,62.0,0.384,15.437681
35,arizona,central,,high school or below,68987.0,personal auto,four-door car,8028.803803165787,71.0,0.384,204.475147
36,california,west region,,bachelor,42305.0,personal auto,four-door car,8028.803803165787,117.0,0.384,561.6
37,oregon,north west,,master,65706.0,personal auto,four-door car,8028.803803165787,91.0,0.384,436.8
38,oregon,north west,,bachelor,0.0,personal auto,two-door car,8028.803803165787,90.0,0.384,648.0
39,arizona,central,,high school or below,53243.0,personal auto,four-door car,8028.803803165787,66.0,0.384,157.397849
40,nevada,central,,high school or below,0.0,corporate auto,two-door car,8028.803803165787,70.0,0.384,484.318536
41,oregon,north west,,college,50071.0,corporate auto,two-door car,8028.803803165787,71.0,0.384,18.918935
42,california,west region,,bachelor,60021.0,personal auto,four-door car,8028.803803165787,99.0,0.384,882.871945
43,arizona,central,,high school or below,43244.0,personal auto,sports car,8028.803803165787,103.0,0.384,494.4
44,washington,east,male,doctor,46896.0,personal auto,four-door car,8028.803803165787,35354.0,0.384,31.707317
45,oregon,north west,,doctor,10105.0,personal auto,suv,8028.803803165787,172.0,0.384,0.517753
46,arizona,central,,bachelor,0.0,personal auto,four-door car,8028.803803165787,73.0,0.384,579.165954
47,oregon,north west,,high school or below,23218.0,personal auto,two-door car,8028.803803165787,71.0,0.384,447.79344
48,california,west region,,bachelor,0.0,corporate auto,four-door car,8028.803803165787,92.0,0.384,529.624084
49,arizona,central,,high school or below,0.0,personal auto,four-door car,8028.803803165787,62.0,0.384,313.023175
50,oregon,north west,,college,24804.0,personal auto,suv,8028.803803165787,104.0,0.384,593.830288
51,california,west region,,bachelor,33190.0,corporate auto,suv,8028.803803165787,106.0,0.384,508.8
52,nevada,central,,high school or below,36014.0,special auto,four-door car,8028.803803165787,69.0,0.384,173.956072
53,washington,east,female,master,67163.0,personal auto,two-door car,8028.803803165787,61.0,0.384,33.192803
54,california,west region,,bachelor,16701.0,personal auto,four-door car,8028.803803165787,113.0,0.384,831.625979
